kind,date,mode_price
だいこん,20221101,1080
だいこん,20221102,1080
だいこん,20221104,1080
だいこん,20221105,1080
だいこん,20221107,1080
だいこん,20221108,1080
だいこん,20221110,1080
だいこん,20221111,1080
だいこん,20221112,1080
だいこん,20221114,1080
だいこん,20221115,1080
だいこん,20221117,1080
だいこん,20221118,1080
だいこん,20221119,1080
だいこん,20221121,1080
だいこん,20221122,1080
だいこん,20221124,1080
だいこん,20221125,1080
だいこん,20221126,1080
だいこん,20221128,1080
だいこん,20221129,1080
にんじん,20221101,1080
にんじん,20221102,1080
にんじん,20221104,1080
にんじん,20221105,1080
にんじん,20221107,1080
にんじん,20221108,1080
にんじん,20221110,1080
にんじん,20221111,1080
にんじん,20221112,1080
にんじん,20221114,1080
にんじん,20221115,1080
にんじん,20221117,1080
にんじん,20221118,1080
にんじん,20221119,1080
にんじん,20221121,1080
にんじん,20221122,1080
にんじん,20221124,1080
にんじん,20221125,1080
にんじん,20221126,1080
にんじん,20221128,1080
にんじん,20221129,1080
キャベツ,20221101,1080
キャベツ,20221102,1080
キャベツ,20221104,1080
キャベツ,20221105,1080
キャベツ,20221107,1080
キャベツ,20221108,1080
キャベツ,20221110,1080
キャベツ,20221111,1080
キャベツ,20221112,1080
キャベツ,20221114,1080
キャベツ,20221115,1080
キャベツ,20221117,1080
キャベツ,20221118,1080
キャベツ,20221119,1080
キャベツ,20221121,1080
キャベツ,20221122,1080
キャベツ,20221124,1080
キャベツ,20221125,1080
キャベツ,20221126,1080
キャベツ,20221128,1080
キャベツ,20221129,1080
レタス,20221101,1080
レタス,20221102,1080
レタス,20221104,1080
レタス,20221105,1080
レタス,20221107,1080
レタス,20221108,1080
レタス,20221110,1080
レタス,20221111,1080
レタス,20221112,1080
レタス,20221114,1080
レタス,20221115,1080
レタス,20221117,1080
レタス,20221118,1080
レタス,20221119,1080
レタス,20221121,1080
レタス,20221122,1080
レタス,20221124,1080
レタス,20221125,1080
レタス,20221126,1080
レタス,20221128,1080
レタス,20221129,1080
はくさい,20221101,1080
はくさい,20221102,1080
はくさい,20221104,1080
はくさい,20221105,1080
はくさい,20221107,1080
はくさい,20221108,1080
はくさい,20221110,1080
はくさい,20221111,1080
はくさい,20221112,1080
はくさい,20221114,1080
はくさい,20221115,1080
はくさい,20221117,1080
はくさい,20221118,1080
はくさい,20221119,1080
はくさい,20221121,1080
はくさい,20221122,1080
はくさい,20221124,1080
はくさい,20221125,1080
はくさい,20221126,1080
はくさい,20221128,1080
はくさい,20221129,1080
ほうれんそう,20221101,1404
ほうれんそう,20221102,1404
ほうれんそう,20221104,1404
ほうれんそう,20221105,1404
ほうれんそう,20221107,1404
ほうれんそう,20221108,1404
ほうれんそう,20221110,1404
ほうれんそう,20221111,1404
ほうれんそう,20221112,1404
ほうれんそう,20221114,1404
ほうれんそう,20221115,1404
ほうれんそう,20221117,1404
ほうれんそう,20221118,1404
ほうれんそう,20221119,1404
ほうれんそう,20221121,1404
ほうれんそう,20221122,1404
ほうれんそう,20221124,1404
ほうれんそう,20221125,1404
ほうれんそう,20221126,1404
ほうれんそう,20221128,1404
ほうれんそう,20221129,1404
ねぎ,20221101,1404
ねぎ,20221102,1404
ねぎ,20221104,1404
ねぎ,20221105,1404
ねぎ,20221107,1404
ねぎ,20221108,1404
ねぎ,20221110,1404
ねぎ,20221111,1404
ねぎ,20221112,1404
ねぎ,20221114,1404
ねぎ,20221115,1404
ねぎ,20221117,1404
ねぎ,20221118,1404
ねぎ,20221119,1404
ねぎ,20221121,1404
ねぎ,20221122,1404
ねぎ,20221124,1404
ねぎ,20221125,1404
